"Date","Date_UTC","PoolName","Algorithm","Currency","Rate","Profit","ProfitApi","Cost","Power","Penalty","Duration","Donation"
"12/22/2021 15:23:08","12/22/2021 09:53:08","MiningPoolHub","Ethash","BTC","48956.2","0.8213","0.9333","0","0.019","12","0.505","0"
"12/22/2021 15:24:13","12/22/2021 09:54:13","MiningPoolHub","Ethash","BTC","48961.9","1.7419","1.9795","0","0.04","12","1.07","0"
"12/22/2021 15:27:25","12/22/2021 09:57:25","ZpoolCoins","HMQ1725","BTC","48934.48","334.0281","397.6525","0","0.022","16","0.466","0"
"12/22/2021 15:28:29","12/22/2021 09:58:29","MiningPoolHub","Ethash","BTC","48934.48","0.7923","0.9003","0","0.018","12","0.486","0"
"12/22/2021 15:29:32","12/22/2021 09:59:32","MiningPoolHub","Ethash","BTC","48934.48","1.7349","1.9715","0","0.04","12","1.063","0"
"12/22/2021 15:30:37","12/22/2021 10:00:37","MiningPoolHub","Ethash","BTC","48864.78","1.7661","2.0069","0","0.057","12","1.073","0"
"12/22/2021 15:31:41","12/22/2021 10:01:41","MiningPoolHub","Ethash","BTC","48876.94","1.7527","1.9917","0","0.059","12","1.068","0"
"12/22/2021 15:32:45","12/22/2021 10:02:45","ZergPoolCoins","HeavyHash","BTC","48934.68","1.0019","1.1385","0","0.025","12","0.416","0"
"12/22/2021 15:33:49","12/22/2021 10:03:49","ZergPoolCoins","HeavyHash","BTC","48948.91","2.6734","3.038","0","0.058","12","1.06","0"
"12/22/2021 15:34:54","12/22/2021 10:04:54","ZergPoolCoins","HeavyHash","BTC","48902.86","2.6428","3.0032","0","0.059","12","1.078","0"
"12/22/2021 15:35:57","12/22/2021 10:05:57","ZergPoolCoins","HeavyHash","BTC","48880.19","2.5967","2.9508","0","0.058","12","1.063","0"
"12/22/2021 15:37:01","12/22/2021 10:07:01","ZergPoolCoins","HeavyHash","BTC","48947.61","2.5999","2.9544","0","0.058","12","1.058","0"
"12/22/2021 15:38:05","12/22/2021 10:08:05","ZergPoolCoins","HeavyHash","BTC","48964.34","2.6319","2.9908","0","0.059","12","1.063","0"
"12/22/2021 15:39:11","12/22/2021 10:09:11","ZergPoolCoins","HeavyHash","BTC","48964.34","2.7479","3.1226","0","0.061","12","1.103","0"
"12/22/2021 15:40:19","12/22/2021 10:10:19","ZergPoolCoins","HeavyHash","BTC","49035.16","2.8313","3.2174","0","0.063","12","1.129","0"
"12/22/2021 15:41:31","12/22/2021 10:11:31","ZergPoolCoins","HeavyHash","BTC","49035.16","3.0404","3.455","0","0.067","12","1.204","0"
"12/22/2021 15:43:43","12/22/2021 10:13:43","MiningPoolHub","Ethash","BTC","49029.31","0.7925","0.9006","0","0.028","12","0.483","0"
"12/22/2021 15:44:46","12/22/2021 10:14:46","MiningPoolHub","Ethash","BTC","49052.44","1.7408","1.9782","0","0.061","12","1.06","0"
"12/22/2021 15:45:50","12/22/2021 10:15:50","MiningPoolHub","Ethash","BTC","49093.26","1.7473","1.9856","0","0.06","12","1.067","0"
"12/22/2021 15:46:54","12/22/2021 10:16:54","ZpoolCoins","HMQ1725","BTC","49101.9","340.5338","405.3974","0","0.026","16","0.47","0"
"12/22/2021 15:47:57","12/22/2021 10:17:57","ZpoolCoins","HMQ1725","BTC","49109.54","756.2649","900.3154","0","0.059","16","1.059","0"
"12/22/2021 15:49:01","12/22/2021 10:19:01","ZpoolCoins","HMQ1725","BTC","49071.96","732.9529","872.563","0","0.059","16","1.057","0"
"12/22/2021 15:50:05","12/22/2021 10:20:05","ZpoolCoins","HMQ1725","BTC","49069.48","730.6957","869.8758","0","0.06","16","1.064","0"
"12/22/2021 15:51:09","12/22/2021 10:21:09","MiningPoolHub","Ethash","BTC","49069.48","0.7584","0.8618","0","0.026","12","0.465","0"
"12/22/2021 15:52:13","12/22/2021 10:22:13","MiningPoolHub","Ethash","BTC","49090.56","1.7459","1.984","0","0.06","12","1.07","0"
"12/22/2021 15:53:17","12/22/2021 10:23:17","ZpoolCoins","HMQ1725","BTC","49090.56","332.4866","395.8173","0","0.027","16","0.486","0"
"12/22/2021 15:54:21","12/22/2021 10:24:21","ZpoolCoins","HMQ1725","BTC","49090.56","732.1541","871.612","0","0.055","16","1.065","0"
"12/22/2021 15:55:25","12/22/2021 10:25:25","MiningPoolHub","Ethash","BTC","49046.72","0.8441","0.9592","0","0.029","12","0.516","0"
"12/22/2021 15:56:29","12/22/2021 10:26:29","MiningPoolHub","Ethash","BTC","49046.72","1.7457","1.9838","0","0.06","12","1.067","0"
"12/22/2021 15:58:36","12/22/2021 10:28:36","MiningPoolHub","Ethash","BTC","49046.72","0.8242","0.9366","0","0.028","12","0.503","0"
"12/22/2021 15:59:40","12/22/2021 10:29:40","MiningPoolHub","Ethash","BTC","49079.32","1.7407","1.9781","0","0.06","12","1.061","0"
"12/22/2021 16:00:44","12/22/2021 10:30:44","MiningPoolHub","Ethash","BTC","49062.36","1.7362","1.9729","0","0.06","12","1.059","0"
"12/22/2021 16:01:48","12/22/2021 10:31:48","MiningPoolHub","Ethash","BTC","49073.48","1.7605","2.0006","0","0.061","12","1.075","0"
"12/22/2021 16:02:53","12/22/2021 10:32:53","MiningPoolHub","Ethash","BTC","49060.3","1.7648","2.0055","0","0.062","12","1.077","0"
"12/22/2021 16:03:57","12/22/2021 10:33:57","MiningPoolHub","Ethash","BTC","49060.3","1.7612","2.0014","0","0.062","12","1.075","0"
"12/22/2021 16:05:05","12/22/2021 10:35:05","MiningPoolHub","Ethash","BTC","49008.28","1.8409","2.0919","0","0.065","12","1.123","0"
"12/22/2021 16:06:11","12/22/2021 10:36:11","MiningPoolHub","Ethash","BTC","48966.98","1.8232","2.0718","0","0.065","12","1.113","0"
"12/22/2021 16:07:19","12/22/2021 10:37:19","MiningPoolHub","Ethash","BTC","48966.98","1.8358","2.0861","0","0.065","12","1.121","0"
"12/22/2021 16:08:24","12/22/2021 10:38:24","MiningPoolHub","Ethash","BTC","48964.72","1.7784","2.0209","0","0.064","12","1.087","0"
"12/22/2021 16:09:35","12/22/2021 10:39:35","MiningPoolHub","Ethash","BTC","48993.44","1.9283","2.1913","0","0.069","12","1.18","0"
"12/22/2021 16:11:43","12/22/2021 10:41:43","MiningPoolHub","Ethash","BTC","48966.96","0.8145","0.9255","0","0.029","12","0.499","0"
"12/22/2021 16:12:46","12/22/2021 10:42:46","ZpoolCoins","HMQ1725","BTC","49036.2","344.5516","410.1805","0","0.027","16","0.5","0"
"12/22/2021 16:13:51","12/22/2021 10:43:51","ZpoolCoins","HMQ1725","BTC","49038.24","743.4142","885.0169","0","0.055","16","1.075","0"
"12/22/2021 16:14:55","12/22/2021 10:44:55","ZpoolCoins","HMQ1725","BTC","49065.52","737.2088","877.6295","0","0.056","16","1.069","0"
"12/22/2021 16:15:59","12/22/2021 10:45:59","ZpoolCoins","HMQ1725","BTC","49065.52","733.5526","873.2769","0","0.056","16","1.068","0"
"12/22/2021 16:17:03","12/22/2021 10:47:03","MiningPoolHub","Ethash","BTC","49061.58","0.7949","0.9033","0","0.029","12","0.487","0"
"12/22/2021 16:18:07","12/22/2021 10:48:07","MiningPoolHub","Ethash","BTC","49043.58","1.7459","1.984","0","0.063","12","1.07","0"
"12/22/2021 16:19:11","12/22/2021 10:49:11","ZpoolCoins","HMQ1725","BTC","49031.14","320.4855","381.5304","0","0.025","16","0.469","0"
"12/22/2021 16:20:16","12/22/2021 10:50:16","ZpoolCoins","HMQ1725","BTC","49053.27","739.6279","880.5094","0","0.057","16","1.081","0"
"12/22/2021 16:21:29","12/22/2021 10:51:29","ZpoolCoins","X17","BTC","49092.22","1.3709","1.632","0","0.027","16","0.489","0"
"12/22/2021 16:22:33","12/22/2021 10:52:33","ZpoolCoins","X17","BTC","49085.12","2.9021","3.4549","0","0.069","16","1.065","0"
